Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿El email puede ser mostrado al docente?
12/15/2019 15:31:28,75.06-95.58-Organización de Datos - Argerich,Bueno,No,Interesantes,Sí,Buenas,Regulares,Dificil,Normal,"Bueno: cambio positivo en el formato de parcial, más práctico sobre cuatrimestre anterior. Positivo tener la hoja de formulas. TP acorde a lo enseñado (muuucho mejor al tp del cuatrismetre pasado). Malo: Preparan clases a ultimo momento. Faltan mas practicas sobre algunos temas importantes.  Docentes: Luis sigue teniendo un excelente nivel para explicar los temas pero ya da temas especificos. Se destaca la labor de Joaquin, que es el que más ganas le pones a dar clases y generar interacción con los alumnos. Extras: estaria bueno que pasen a epub el apunte que es muy grande y seria interesante algun formato en video de temas importantes para los que trabajamos y no tenemos mucho tiempo disponible.",No
12/15/2019 16:33:48,75.06-95.58-Organización de Datos - Argerich,Malo,Sí,Interesantes,Sí,Malas,Malas,Muy Dificil,Dificil,,No
12/15/2019 17:19:07,75.06-95.58-Organización de Datos - Argerich,Bueno,Sí,Interesantes,Sí,Regulares,Regulares,Dificil,Normal,"Me hubiera gustado que expliquen mejor los ejercicios en clase (de algunos temas ni se llegaron a ver ejercicios, o se vieron medio rápido o por arriba) y también estaría muy bueno que haya ejercicios/parciales resueltos, mas que nada porque hay algunos temas que son complicados de entender y si no hay un ejemplo claro, al momento de hacer un ejercicio se complica mucho o se entiende mal el tema y se hace mal el ejercicio.
los parciales suelen ser difíciles y muy extensos, algunas veces sin necesidad. Algunas veces el enunciado no es del todo claro.
los recuperatorios aumentan mucho en dificultad, el ultimo recuperatorio es ridículamente difícil.
El promocional fue muy extenso, hubiera venido bien alguna clase de ejercicios o de repaso.
Los finales suelen ser difíciles y suelen tener temas combinados, cosa que no se suele ver en la cursada.
Aunque la mayoría de los temas son interesantes, el temario es muy extenso. Solo el apunte tiene 700 paginas.
Vendría bien una pequeña introducción al tp 2, tal vez mostrando como correr un algoritmo de ML en pandas sobre el set de datos.",
12/15/2019 19:16:19,75.06-95.58-Organización de Datos - Argerich,Malo,No,Interesantes,Sí,Malas,Malas,Muy Dificil,Normal,"Se necesita urgente otra cátedra para este materia. Ya son muchos los estudiantes que, sin ser malos, aprueban todas las materias pero se quedan estancados en esta por muchos motivos. Los finales son casi imposibles. La cátedra no tiene ninguna intención de preparar a los estudiantes para el nivel de sus propios finales. Es mentira lo que dice el docente que desaprueban ""por que los que llegan a esa instancia son malos estudiantes"", la evidencia está en que las otras materias los finales son aprobables. Y esto es en el supuesto caso de llegar al final. Los TP's son interesantes. Pero los parciales y sus dos recuperatorios tiene un abismo de diferencia en su nivel. Si desaprobás en una de las oportunidades ""fáciles"" por x motivo, es casi imposible aprobar en las otras dos. También existe un abismo de diferencia en la forma de corregir de los docentes, con algunos es imposible aprobar. Quizás hay un error en esa especie de división que existe entre los ejercicios de spark y pandas con el resto, y si quieren seguir con esa división se debería poder aprobar y recuperar por separado. Todo esto hace que para aprobar haya que tener suerte; la suerte de estar fino en la única oportunidad aprobable, y la suerte de que no te toque un docente que no te quiera aprobar. No puede existir una materia que dependa tanto de la suerte. Y tiene que haber otra cátedra porque estos profesores no saben como solucionar el evidente problema. En el cuatrimestre anterior (1ºC 2019) todos los alumnos coincidieron que fue la peor cursada de la historia. Pareciera que el profesor se vengó de los estudiantes por responder encuestas donde los criticaban. Y en este cuatrimestre internaron cambiar unas cosas, pero el resultado fue el mismo de siempre. Por lo que no es un tema de voluntad, es que no saben como. El curso puede seguir existiendo porque tiene temas interesantes, pero urgentemente se necesita otra cátedra con otros docentes que se manejen de otra forma y tengan otro enfoque y prioridades en los temas y forma de corregir. Los estudiantes necesitan otra opción.",
12/15/2019 20:10:45,75.06-95.58-Organización de Datos - Argerich,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Dificil,Normal,"Este cuatrimestre se notó muchísimo la intención y el trabajo de lxs docentes para hacer la materia más llevadera, aún quedan cosas por resolver, pero es un paso en la dirección correcta.

Los temas vistos son de alto interés y el curso te deja con ganas de seguir explotando lo aprendido. ¡Muchas gracias!",No
12/16/2019 12:37:47,75.06-95.58-Organización de Datos - Argerich,Regular,No,Interesantes,Sí,Regulares,Regulares,Muy Dificil,Normal,"Todos los docentes son muy buenos, siempre dispuestos a ayudar y se nota que quieren que sus alumnos aprendan y pasen el curso. Pero los exámenes requieren más de práctica que de entender los conceptos para poder resolverlos y no van acorde a lo que se ve en las clases. El criterio de corrección no es muy justo, se vuelve muy exigente con contenidos que no lo merecen. La materia es muy larga e interesante, pero para llegar a dominar los temas y las herramientas como pandas y spark, como se requiere para aprobar los exámenes, se vuelve muy demandante. Estaría bueno que el parcial o abarque menos temas para poder comprenderlos y practicarlos como se exige, o que no sean tan complicados los ejercicios ni tan exigente la corrección. ",No
12/16/2019 21:34:53,75.06-95.58-Organización de Datos - Argerich,Bueno,Sí,Muy Interesantes,Sí,Buenas,Buenas,Muy Dificil,Muy dificil,A mi parecer no enseñan algunos temas dándoles la importancia con la que después los evalúan.,
12/16/2019 23:13:26,75.06-95.58-Organización de Datos - Argerich,Bueno,Sí,Muy Interesantes,Sí,Regulares,Regulares,Dificil,Normal,"Las operaciones con Groupby de Pandas, no fueron explicadas correctamente. Se podría profundizar más estos temas durante las clases.

El primer parcial podría ser tomado antes de la presentación del TP1. El examen promocional podría ser tomado antes de la presentación del TP2. De esta forma, se fuerza a estudiar los temas de antemano, y los trabajos prácticos resultan más llevaderos , pues no debemos preocuparnos por el parcial y ya tenemos los conocimientos claros para realizarlos. Además, podemos realizar los trabajos prácticos sin preocuparnos por rendir algo después.

La mayoría de los temas son interesantes, pero las clases son densas, y no quedan claros los temas al final de las mismas. La mayor parte del conocimiento fue aprendido por cuenta propia. Una mejora sería proveer de más bibliografía , textual y por video que permita re-estudiar estos temas por cuenta propia más rápidamente, y fácilmente.




",No
12/17/2019 17:08:42,75.06-95.58-Organización de Datos - Argerich,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Dificil,Dificil,"- La rúbrica de corrección del TP2 fue útil pero sería mejor si estuviera desde mucho antes que dos días de la primer fecha de correcciones. El TP1 también se beneficiaría de algo similar, así tenemos una noción de qué tan bien o mal encaminado está el trabajo.

- Las guías no me sirvieron. Para el parcial no ví razón para hacerlas si tengo todos los parciales históricos con sus respectivos criterios de corrección. Tal vez si estuvieran resueltas (o con respuestas parciales como es el caso de las guías de Matemática Discreta) serían más útiles.

- Dicho esto, estudiar para el promocional fue un caos. Hay muy pocos promocionales en Piazza para practicar (entendible considerando que solo hay uno por cuatrimestre) y ese es el problema: que esa sea la única alternativa. No hay ni guías ni coloquios para los temas del promocional. Solo están los promocionales mismos, y aún así varían mucho los temas por cuatrimestre.",
12/17/2019 21:01:55,75.06-95.58-Organización de Datos - Argerich,Excelente,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Dificil,Normal,"En una única ocasión creo que no había dominio de la teórica.  No obstante, excelente el curso!",Si
12/18/2019 23:46:13,75.06-95.58-Organización de Datos - Argerich,Malo,Sí,Muy Interesantes,Sí,Malas,Regulares,Dificil,Normal,"Los temas son muy interesantes, pero a veces estan mal explicados. Si tenes que dar recuperatorio se te suman demasiados temas para preparar + preparar el trabajo practico y se dificulta muchisimo. Los parciales son demasiado largos, casi siempre los alumnos quedan cortos de tiempo. Ejercicios a veces rebuscados de pandas y/o spark, pareciera que no se valora que entiendas los conceptos sino algo muy especifico que hayan decidido tomar ese cuatrimestre. No estoy conforme con la catedra en general, algunas clases parece que los profesores no entienden bien lo que explican o no prepararon bien la clase, se traban mucho o hablan despacio y despues uno tiene que leer por su cuenta sobre los temas porque no terminan quedando claros. Pienso que hay muchisimo que se puede mejorar en como se dan las clases (sobretodo los profesores deberian esforzarse un poco mas en hablar fuerte y claro) y en como se evalúa",No
12/19/2019 22:26:02,75.06-95.58-Organización de Datos - Argerich,Regular,Sí,Muy Interesantes,Sí,Regulares,No Hay Clases Prácticas,Normal,Normal,"Me parecio muy bien la introduccion de la hoja de formulas. Sin los 20 ptos. que se daban antes, esto se volvió muy importante.

En cuanto a las clases: destaco las de Luis (un lástima enorme que no de más clases!) y las de Joaquín.
El resto, en líneas generales: no las prepara, perdiendo tiempo excesivo copiando cosas en el pizarrón y/o explicando lo fácil en lugar de detenerse en lo más complejo. Dos ejemplos que iliustran el comportamiento de los no nombrados anteriormente:
- perder 15min copiando la tabla de un enunciado para explicar árboles de decisión, y después iterar con todo a mano, sin tener los resultados anotados.
- redes sociales: arranquemos por que se perdieron unos 10 min. buscando el ppt que se quería usar en clase... En el medio se empieza a quejar de que Google solo vende publicidad (? Una vez que encuentra el ppt, se detiene en cada detalle de los que o ya se deben saber de otras materias, o son conceptos muy simples que no ameritan ninguna detención especial. Por ejemplo detenerse a explicar qué es la ley de potencias, y después dar 6 ejemplos, deteniéndose en cada uno repitiendo lo mismo que se introdujo con ya de por sí demasiadas palabras.... para después pasar temas más complejos a velocidades desorbitantes, es simplemente inédito. Es verdad que luego se evaluó acorde a la profundidad que se dió, pero todo junto genera bastante confusión, lo que me lleva al próximo punto.

Claridad en lo que se espera que se sepa. Como dicen los docentes, los temas de la materia son muchos, y cada uno se da a cierta profundidad. Hay cosas que oficialmente se dan, pero con una profundidad menor. Hubo varias veces en que estudiando con los compañeros nos encontramos ante cierta incertidumbre de hasta dónde se espera que se estudie ('esto se dio muuy por arriba, lo llegarán a tomar?'). No sé si se entiende. Por ahi fue el caso de un grupo reducido de alumnos y no viene al caso. Pero por las dudas lo comento también.

Vías de comunicación. Me mareó un poco el hecho de que se manejen dos vías de comunicación. Hay cosas que se subían a piazza, otras a facebook, sin un criterio claro. Por suerte me enteré de la mayoría de las cosas importantes sin problema, no pasando de más que una incomodidad. Nu fue así con el promocional, que incluyó una pregunta de un apunte de rnn que se subió solamente a fb sin ningún aviso en piazza. Lamentablemente me enteré de la existencia del mismo demasiado tarde (0 ptos en el ejercicio; por suerte pude aprobar igual, pero no fue agradable la situación). Esto sucedió porque si bien algunos anuncios se hicieron mediante fb, nunca antes sucedió que se suba material a otro lado que no sea piazza; por lo que haber estado chequeando hasta el último día todo piazza no ayudó demasiado en este caso.

Finalmente me gustaría comentar que muchas preguntas en piazza fuerons respondidas con one-liners muy poco amigables, o con respuestas que respondían parcialmente las dudas (para qué redactar una buena consulta, si después recibo un tercio de respuesta?), o directamente diciendo que tal cosa se dio en clase y listo. ¿No puede haber dudas por más que se haya dado algo en clase? Si el alumno por alguna razón particular no pudo asistir esa clase...? O si justo debió salir un momento...? Esa actitud sobrante me pareció totalmente demás, y hay varios compañeros que están de acuerdo, por lo que si bien el ámbito de la crítica de esta sección es un poco subjetivo, antes de escribrlo me aseguré de no ser el único que lo percibió  de esta forma.

En este mismo ámbito vuelvo a destacar la labor de Joaquín, que de todos fue el que más amigable y completamente respondía las preguntas.

La semana entre el fin de cursada y el examen por promoción merece su propio párrafo. Durante bastante tiempo no se respondieron consultas, hasta que finalmente Joaquín se encargó de aclarar bastantes asuntos pendientes (creo que el último día, dudas que venían colgadas hace aprox. 1 semana). 

Me parece clarísimo que Joaquín se volvió un actor clave en la materia. Lo contrario sucede con otras personas con más antigüedad que creen que ya se saben las clases de memoria y por lo tanto no merecen perder tiempo fuera de clase para repasar los temas, resultando en clases vergonzosas.

TP. Me pareció muy a la medida de la materia: se pudieron aplicar en la práctica muchísimos de los temas estudiados en clase sin mayores dificultades. El set fue realista pero a la vez amigable para el entorno didáctico. +1

Finales. En el pasado tuve que rendir final de esta materia y me vi ante bastante incertidumbre al desconocer el formato de los mismos. Yo personalmente creo que esto no debería ser así: apoyo toda la exigencia del mundo, pero creo que quien por el motivo que sea desaprueba el promocional (siendo el más tonto por ejemplo tener un mal día, le pasa a los mejores), no debería ser castigado con ese nivel de incerteza que complica mucho la preparación del mismo.",
12/21/2019 8:28:23,75.06-95.58-Organización de Datos - Argerich,Malo,Sí,Interesantes,Sí,Regulares,Regulares,Normal,Dificil,el único bueno es Joaquin dando clases. todo el resto no vale la pena. los Tps son muy difíciles y largos sin sentido ,
12/21/2019 11:25:14,75.06-95.58-Organización de Datos - Argerich,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Malas,Normal,Normal,"Sé que es ir en contra de comentarios de otras cursadas pasadas, pero creo que a mí me hubiera servido poder estar al día con los fingers para llegar al parcial y al promocional. Me costó llevar a la práctica algunos conceptos que se veían en clases. ",Si
12/23/2019 18:25:16,75.06-95.58-Organización de Datos - Argerich,Malo,Sí,Interesantes,Sí,Regulares,Regulares,Muy Dificil,Dificil,"Varía demasiado el nivel de las clases. Las mejores son las que dan Luis y Joaquin. También las de Natalia. Las practicas de pandas/spark de Martin son eternas por trabarse con los ejercicios. 
De los parciales por lo menos hay algunos con criterios en piazza para tener una idea pero de los promocionales solo hay un par y sin resolver. De finales no se sabe nada.",No
1/2/2020 15:51:50,75.06-95.58-Organización de Datos - Argerich,Regular,Sí,Interesantes,Sí,Regulares,Regulares,Muy Dificil,Normal,,No
12/9/2019 23:23:56,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Poco Interesantes,No,Malas,Malas,Normal,Normal,,
12/9/2019 23:26:02,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Interesantes,No,Malas,Regulares,Normal,Normal,"Teoricas dadas con powerpoints y sin muchas ganas. Se utiliza el lenguaje Smalltalk el cual te hace confundir mas los conceptos, si fuese directo con Java seria mucho mas claro. El parcial es totalmente subjetivo y evaluan Patrones sin enseñarlos. Practicas suelen ser poco dinamicas y tardan mas conectando el proyector que dando clases.",
12/9/2019 23:57:43,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Poco Interesantes,No,Malas,Regulares,Normal,Dificil,"Malísimo el curso, teóricas poco didácticas y aburridas, para ver a alguien leyendo ppt’s me quedo en mi casa leyendo ppt’s... No entiendo por qué la materia se llama Algoritmos y Programación III si no se ven ni Algoritmos y la parte de programación la tenemos que aprender por nuestra cuenta porque NO la enseñan. La primera parte de la materia dan Smalltalk, lenguaje OBSOLETO e inútil a nivel laboral, nadie usa ese lenguaje!!! No entiendo por qué lo dan. Es preferible que den Java desde un principio así también uno está afilado para el TP2 que es largo y además es un lenguaje útil para la vida profesional. No existe criterio de corrección para el parcial, depende quién te lo corrige, si a el le parece, aprobás o no. Se toman diagramas que ya ni se usan a nivel laboral y es descalificativo... Se podrían evaluar conceptos más importantes... La verdad que da mucha tristeza e indignación ver como una materia tan importante y central para la carrera esté tan mal dada, ojalá que se pongan las pilas y pongan a alguien decente con ganas de dar un buen curso como en el caso de Essaya y Buchwald en los algoritmos anteriores.",
12/10/2019 10:39:56,75.07-95.02-Algoritmos y Programación III - Suarez,Bueno,Sí,Interesantes,Sí,Buenas,Buenas,Normal,Normal,,
12/10/2019 16:44:19,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Muy Interesantes,Sí,Malas,Malas,Normal,Dificil,"La teórica las da leyendo unas diapositivas, no aporta nada. La práctica (turno noche) está mal organizada, es dispareja en las correcciones (algunos correctores te aprueban muy fácil, y otros, por cualquier cosa te desaprueba) fuera de que haya un ""criterio de corrección"" pero ninguno lo respeta. Los TPs son aburridos, algunos correctores no te responden los mails, las clases a veces se tornan aburridas y repetitivas en algunos temas y  en otros temas ni los tocan. ",
12/12/2019 10:27:15,75.07-95.02-Algoritmos y Programación III - Suarez,Bueno,Sí,Interesantes,Sí,Regulares,Buenas,Normal,Dificil,,No
12/12/2019 13:16:24,75.07-95.02-Algoritmos y Programación III - Suarez,Regular,No,Poco Interesantes,Sí,Regulares,Regulares,Normal,Dificil,"No te dan muchas herramientas para entender algo totalmente nuevo como objetos. Para el ultimo tp te dejan muy solo, en particular el corrector que me toco a mi nunca nos dio las preentregas y no se supo adaptar a nuestras ideas, sino que constantemente imponia las suyas",No
12/12/2019 15:04:08,75.07-95.02-Algoritmos y Programación III - Suarez,Muy Bueno,Sí,Interesantes,Sí,Regulares,Buenas,Normal,Dificil,"Es una materia fundamental y sobre todo muy útil. Estuvo bien llevada dentro de todo, aprendí mucho",No
12/12/2019 17:30:14,75.07-95.02-Algoritmos y Programación III - Suarez,Bueno,Sí,Interesantes,Sí,Malas,Buenas,Normal,Normal,,
12/12/2019 17:38:01,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,No,Muy Interesantes,Sí,Buenas,Malas,Normal,Normal,,No
12/13/2019 0:03:50,75.07-95.02-Algoritmos y Programación III - Suarez,Regular,Sí,Poco Interesantes,Sí,Regulares,Malas,Normal,Dificil,,No
12/14/2019 17:44:17,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Muy Interesantes,Sí,Malas,Muy Buenas,Dificil,Muy dificil,En general el curso es un desastre. Muy desorganizado todo. No le llegan ni a los talones a lo que es Algo 1 y Algo 2. Las teóricas terminaban SIEMPRE antes y solamente nos leían un Powerpoint. Hubo veces que estuve más tiempo arriba del colectivo para ir y volver de la clase que en la clase en si. No entiendo por que nos dan tan poco tiempo para los parciales. Si la clase dura 3 horas no hay excusa para quitarnos la hoja antes. Da la sensacion que lo hacen porque les da paja irse de la facultad a las 10 de la noche. Toda la parte de JavaFX estuvo muy mal explicada.,
12/15/2019 0:58:36,75.07-95.02-Algoritmos y Programación III - Suarez,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Muy Buenas,Normal,Dificil,,No
12/18/2019 16:20:39,75.07-95.02-Algoritmos y Programación III - Suarez,Regular,Sí,Interesantes,Sí,Malas,Buenas,Normal,Normal,no tienen criterios de corrección por lo cual cada docente corrige diferente,
12/18/2019 19:31:51,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Muy Interesantes,Sí,Malas,Malas,Facil,Normal,"El tp del curso no es dificil pero mi ayudante en particular es uno de los peores profesores que tuve la desgracia de tener en toda mi carrera, el nombre de este profesor es Pablo Massuh",No
12/19/2019 19:16:10,75.07-95.02-Algoritmos y Programación III - Suarez,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Normal,Normal,,No
12/22/2019 12:33:44,75.07-95.02-Algoritmos y Programación III - Suarez,Bueno,Sí,Interesantes,Sí,Regulares,Regulares,Normal,Normal,,No
1/2/2020 12:14:34,75.07-95.02-Algoritmos y Programación III - Suarez,Bueno,Sí,Interesantes,Sí,Buenas,Regulares,Dificil,Normal,,
1/5/2020 0:25:31,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Nada Interesantes,No,Malas,Malas,Muy Dificil,Muy dificil,"La materia está muy mal dada, el docente simplemente lee los ppts que están en el campus y el resto arreglate con google. Horrible más cuando venís de cátedras excelentes como lo es Méndez u la ex cátedra de Rosita. ",No
2/4/2020 3:48:02,75.07-95.02-Algoritmos y Programación III - Suarez,Bueno,No,Interesantes,Sí,Muy Buenas,Buenas,Dificil,Dificil,,
2/5/2020 16:14:54,75.07-95.02-Algoritmos y Programación III - Suarez,Excelente,Sí,Muy Interesantes,Sí,Muy Buenas,Excelentes,Dificil,Dificil,,Si
2/11/2020 20:51:17,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Interesantes,Sí,Malas,Regulares,Normal,Dificil,"Las teóricas son un embole, la gran mayoría recomienda no ir y sólo leer el libro de la materia: las clases constan de diapositivas y, eso es básicamente todas las clases, somos un curso enorme en el anfiteatro mas grande de la facultad, en una materia de programación donde no se programa nunca .Tienen lecturas obligatorias que son bastantes malas (y con el nivel de las teóricas, entiendo que las pongan como obligatorias). Los cursos están llenísimos y eso obliga a que las prácticas sean una persona tirando código durante las 3 horas y medio comentándolo, no hay un ida-vuelta, es un monólogo, quizás si los cursos fueran menos numerosos la situación sería otra",
2/11/2020 22:32:21,75.07-95.02-Algoritmos y Programación III - Suarez,Malo,Sí,Nada Interesantes,No,Malas,Malas,Facil,Normal,"La materia está desactualizadísima, los temas podrían ser útiles e interesantes si fueran dados de forma correcta. Esas diapositivas tienen demasiado polvo, y las clases prácticas no ayudan en nada. Aprobar es cuestión de azar, si te toca un ayudante mala onda, perdiste, quizas nunca te diga QUÉ hiciste mal ni en un parcial ni en un tp. Una decepción.",No
2/12/2020 2:10:58,75.07-95.02-Algoritmos y Programación III - Suarez,Bueno,Sí,Muy Interesantes,Sí,Buenas,Muy Buenas,Normal,Dificil,"Buen curso, lástima que sea el único igualmente",No
12/9/2019 21:17:08,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Dificil,,
12/9/2019 21:42:24,75.08-95.03-Sistemas Operativos - Mendez,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Dificil,"Este curso es excelente. Mendez es un capo que te explica todo volando pero se le entiende perfecto y hace las clases divertidas. Por otro lado Dato que tiene otra modalidad para explicar, es un genio y se sabe explicar muy bien, realmente me parece una de las mejores duplas de la facultad. Las clases prácticas para el final de la cursada pueden ser un poco densas pero el curso sigue siendo excelente. El parcial me pareció justo y se tomó un poco de todo. Por otro lado los tps están muy buenos pero también en algún momento empieza a ser un poco denso. Me gustó mucho la materia y la dedicación de cada uno de los profes. Excelente",
12/10/2019 11:08:13,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Normal,Dificil,,
12/11/2019 23:05:45,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Regulares,Normal,Normal,No se entienden muy bien las explicaciones de los trabajos prácticos.,No
12/12/2019 13:17:54,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Normal,Dificil,Muy buenos profes. Un poco desorganizado el curso.,
12/12/2019 20:09:46,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Normal,Normal,Gente que sabe mucho,No
12/13/2019 1:25:24,75.08-95.03-Sistemas Operativos - Mendez,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Muy Buenas,Dificil,Muy dificil,"Muy buen curso!. El TP que hay que realizar es del MIT, los temas estan super actualizados. Mariano le mete mucha buena onda. Dato sabe muchisimo, y se aprende mucho",Si
12/13/2019 10:22:36,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Excelentes,Normal,Dificil,,
12/13/2019 15:04:10,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Dificil,,No
12/15/2019 12:59:51,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,
12/15/2019 16:35:38,75.08-95.03-Sistemas Operativos - Mendez,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Dificil,,No
12/15/2019 16:48:41,75.08-95.03-Sistemas Operativos - Mendez,Excelente,Sí,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,Me parece genial como esta dada la materia ya que se aprende tanto la teoría como la práctica y me parece buenísima la idea de poder hacer más trabajos prácticos en vez de final ya que en el parcial entran todos los temas teóricos y podemos aprender algo más del tp de JOS,No
12/15/2019 22:03:50,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Muy Interesantes,Sí,Buenas,Muy Buenas,Normal,Normal,,Si
12/16/2019 12:07:05,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Muy Interesantes,Sí,Buenas,Buenas,Normal,Normal,"Creo que es un muy buen curso dentro de todo. Los contenidos fueron muy interesantes. Los docentes siempre estuvieron bien dispuestos para explicar las cosas las veces que fuera necesario, y las explicaciones eran muy claras y de buen nivel.
Según mi punto de vista hay dos aspectos a mejorar:
1) Me hubiera gustado tener un calendario un poco mas definido desde el principio de la cursada. Es muy útil para organizarse.
2) Sobre las primeras clases teóricas, que fueron como un pantallazo general de sistemas operativos, con temas que se profundizaron mas adelante: creo que fueron muy útiles como primer acercamiento, pero me hubiera gustado que sean un poco mas ordenadas. Algunas veces siento que terminaba medio mareado. Quizá con algunos gráficos en los que se vaya profundizando por zona (entendiendo a las zonas como partes con diferentes responsabilidades o funcionalidades) las partes del sistema operativo.",No
12/16/2019 23:27:50,75.08-95.03-Sistemas Operativos - Mendez,Bueno,Sí,Muy Interesantes,Sí,Regulares,Regulares,Normal,Normal,"El curso trata temas muy interesantes. La bibliografía y los trabajos prácticos son muy buenos. En cuanto a las clases (teoricas y prácticas) , creo que fue lo más flojo de la materia. Si hablamos de las teoricas, creo que las mismas deberian estar más organizadas, en el sentido de que haya un cronograma y que en cada clase se traten bien diferentes temas y los mismos no se repitan en otras clases. Paso que Dato dio una parte de la materia y Méndez otra, repitiendo temas y cambiando totalmente la metodología con la que se dictaban las clases. Se agradece muchísimo (mucho en serio!!) la predisposición y la buena onda al dictar clases, pero creo que se debería buscar una mejor manera de dar las clases teoricas, buscando dar una vez bien cada concepto. Es importante también tratar de usar mas el pizarrón y sino usar diapositivas para ayudarse en la clase, no proyectar el apunte de la materia, ya que el mismo es difícil de leer y además la idea es que los alumnos se lleven algo más que lo que podrian leer en el apunte. La idea de un apunte de la materia me parece buenísima y creo sería genial que se terminará de pulir el mismo. ",
12/25/2019 18:20:28,75.08-95.03-Sistemas Operativos - Mendez,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Dificil,Muy dificil,Excelentes profesores,No
12/10/2019 0:13:42,75.09-95.20-Análisis de la Información / Métodos y Modelos de la Ing. del Software I - 1 - Villagra,Malo,No,Interesantes,Sí,Malas,Malas,Dificil,Dificil,,
12/10/2019 23:34:40,75.09-95.20-Análisis de la Información / Métodos y Modelos de la Ing. del Software I - 1 - Villagra,Malo,Sí,Interesantes,Sí,Regulares,Malas,Muy Dificil,Muy dificil,"Si existe otra cátedra, anotarse a esa. Es la primera vez que siento la obligación de escribir una opinión respecto a un curso de fiuba, escapen de esto. Es la materia que más sentí menospreciado mí esfuerzo, me encontré en varias situaciones cuestionandome si dejarla. Cambian los criterios de aprobación de la materia sobre la marcha, no dejan claros los criterios de corrección, son excesivamente pedantes y vende humo. De las clases uno se lleva poco y nada de tanto humo que tiran. Una lástima porque lo peor es que creen que están haciendo un buen laburo. Rescato a los ayudantes que le ponen onda. Lamento mucho tener que referirme así a docentes, pero es lo que generan.",
12/11/2019 11:30:25,75.09-95.20-Análisis de la Información / Métodos y Modelos de la Ing. del Software I - 1 - Villagra,Bueno,Sí,Interesantes,Sí,Buenas,Muy Buenas,Dificil,Dificil,,No
